url,title,date,body
https://www.alyaum.com/articles/1/%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D9%87%D8%B1%D8%AC%D8%A7%D9%86-%D8%A7%D9%84%D8%B7%D9%81%D9%84-%D9%88%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9, انطلاق فعاليات مهرجان الطفل والأســــــــرة بالمـــدينــــة المــنــــورة , 2002/07/03 ,"تنطلق اليوم الاربعاء فعاليات ""مهرجان الطفل والأسرة"" الذي ينظمه مركز الاطفال المعوقين بالمدينة المنورة بالتعاون مع الامانة العامة لمهرجان المدينة المنورة الخامس.
ويستمر المهرجان لمدة ثلاثة ايام بمقر مركز الاطفال المعوقين بحي الملك فهد، حيث يتضمن العديد من الانشطة والفعاليات التي تخص الاسرة والطفل ومن بينها ندوات تثقيفية حول اسباب الاعاقة وطرق تلافيها وكيفية التعامل مع المعوقين. ودور الام والاسرة في تفادي الكثير من حالات الإعاقة.
كما يتضمن المهرجان مسابقات ترفيهية للاطفال وشخصيات كرتونية وركنا للالعاب الالكترونية ومسرحا للاطفال وأركانا للتصوير والرسم والفنون، وسيخصص يوما الاربعاء والخميس من المهرجان للنساء والاطفال وذلك خلال الفترة من الساعة الخامسة عصرا حتى الحادية عشرة مساء، فيما سيفتح المهرجان ابوابه للعائلات يوم الجمعة، حيث سيشارك الفنان يوسف الجراح في تقديم فقرات المهرجان الذي يقام برعاية شركة كوكا كولا السعودية. "
url,title,date,body
https://www.alyaum.com/articles/1/%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D9%87%D8%B1%D8%AC%D8%A7%D9%86-%D8%A7%D9%84%D8%B7%D9%81%D9%84-%D9%88%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9, انطلاق فعاليات مهرجان الطفل والأســــــــرة بالمـــدينــــة المــنــــورة , 2002/07/03 ,"تنطلق اليوم الاربعاء فعاليات ""مهرجان الطفل والأسرة"" الذي ينظمه مركز الاطفال المعوقين بالمدينة المنورة بالتعاون مع الامانة العامة لمهرجان المدينة المنورة الخامس.
ويستمر المهرجان لمدة ثلاثة ايام بمقر مركز الاطفال المعوقين بحي الملك فهد، حيث يتضمن العديد من الانشطة والفعاليات التي تخص الاسرة والطفل ومن بينها ندوات تثقيفية حول اسباب الاعاقة وطرق تلافيها وكيفية التعامل مع المعوقين. ودور الام والاسرة في تفادي الكثير من حالات الإعاقة.
كما يتضمن المهرجان مسابقات ترفيهية للاطفال وشخصيات كرتونية وركنا للالعاب الالكترونية ومسرحا للاطفال وأركانا للتصوير والرسم والفنون، وسيخصص يوما الاربعاء والخميس من المهرجان للنساء والاطفال وذلك خلال الفترة من الساعة الخامسة عصرا حتى الحادية عشرة مساء، فيما سيفتح المهرجان ابوابه للعائلات يوم الجمعة، حيث سيشارك الفنان يوسف الجراح في تقديم فقرات المهرجان الذي يقام برعاية شركة كوكا كولا السعودية. "
https://www.alyaum.com/articles/3/%D9%81%D8%AA%D8%AD-%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%AA%D8%B1%D8%B4%D9%8A%D8%AD-%D9%84%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9-%D9%85%D9%83%D8%AA%D8%A8-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D9%84%D9%84%D8%A8%D8%AD%D9%88%D8%AB-%D8%A7%D9%84%D8%AA%D8%B1%D8%A8%D9%88%D9%8A%D8%A9, فتح باب الترشيح لجائزة مكتب التربية العربي لدول الخليج للبحوث التربوية , 2002/07/03 ,"اعلن مكتب التربية العربي لدول الخليج العربية عن فتح باب الترشيح لجائزة مكتب التربية العربي لدول الخليج للبحوث التربوية لعامي 1422 و 1423هـ (2001 و 2002م) وقد تم تحديد آخر موعد لقبول المشاركات حتى التاسع والعشرين من شهر رجب القادم، وتتم المشاركة وفقا للشروط والضوابط الاتية:
ان يكون المرشح من مواطني الدول الاعضاء بالمكتب، والايكون المرشح قد نال جائزة عن الانتاج المقدم، اوحصل به على شهادة علمية ماجستير ـ دكتوراه، ويمكن قبول العمل المشترك من قبل مجموعة مؤلفين اذا كانوا من مواطني الدول الاعضاء، او يكون البحث المقدم يمثل نظرية تعليمية تربوية، او مساهمة مبتكرة في مجال البحث التربوي، او تحقيقا عمليا مكتوبا باللغة العربية الفصحى لاحد مصادر التراث العربي الاسلامي، وفي حالة تقديم بحث منشور بغير اللغة العربية يجب ان يرفق معه مستخلص باللغة العربية، وان يكون البحث المقدم ملتزما بالمنهج العلمي، وان يكون البحث المقدم منشورا وفق قواعد النشر العلمي واصوله او مقبولا للنشر بتأكيد من مؤسسة او هيئة علمية معترف بها، ويمكن قبول الاعمال غير المنشورة اذا حظيت بتزكية من مؤسسة او هيئة علمية متخصصة في مجال العمل المقدم، ويمكن قبول البحوث المترجمة المتميزة التي تخدم الثقافة والتربية والتعليم في منطقة الخليج العربية مع تقديم دراسة تحليلية تقويمية للعمل ومدى الاستفادة منه في دول المنطقة ولم تتجاوز طبعته الاولى في لفتة الاصلية خمس سنوات من نشر الاعلان عن الجائزة.
وقد تم تحديد اجراءات التقدم للجائزة بالاتي:
تقديم عشر نسخ من الانتاج المرشح للجائزة، ولايعاد الانتاج سواء فاز المرشح او لم يفز، وبالنسبة للانتاج المترجم فيرفق نسخة من الاصل المترجم عنه، ويقدم بيان تفصيلي عن حياة المرشح العلمية والشخصية ومؤلفاته المنشورة، وتضاف ثلاث صور فوتوغرافية للمرشح، توضيح العنوان البريدي للمرشح ورقم هاتفه، توجبه طلبات الترشيح الى العنوان التالي:
المدير العام لمكتب التربية لدول الخليج
ص. ب (94693) الرياض 11614 ـ المملكة العربية السعودية كما تم تحديد مهام لجنة الجائزة بالتالي:
ـ تختار اللجنة من الاعمال المقدمة ما تنطبق عليه شروط الجائزة، وما تراه صالحا من حيث المبدأ للترشيح للجائزة وذلك لاحالته الى متخصصين لدراسته وابداء الرأى حوله.
ـ تختار اللجنة المتخصصين الذين يوكل اليهم دراسة الانتاج مبدئيا للترشيح لابداء مدى صلاحيته لنيل الجائزة.
ـ تقوم اللجنة باختيار الفائزين بعد دراسة آراء المختصين والاقتناع بها.
ـ دراسة المقترحات التي تقدم بشأن تطوير الجائزة واختيار المناسب منها.
ـ دراسة دعوة الترشيح للجائزة الاعلان من جوانبها وتطويرها بين حين وآخر.
وتهدف جائزة مكتب التربية العربي لدول الخليج للبحوث التربوية الى تشجيع الانتاج العلمي المتميز في المجال التربوي التابع من الشخصية العربية والاصالة الفكرية لمنطقة الخليج العربي وفق المجالات التربوية المحددة، اضافة الى حفز الباحثين من ابناء المنطقة على انتاج اعمال متميزة تخدم المنطقة وخططها التنموية، كما تهدف الى اثراء الفكر التربوي بما يحقق الرؤية المتميزة لهذه المنطقة وسد حاجات المكتبة التربوية العربية، ورعاية الابداع والمبدعين من ابناء المنطقة وتقديرهم ماديا ومعنويا.
وقد تم تحديد موضوعات الجائزة بما يلي:
1 ـ توظيف تقنية المعلومات والاتصالات لتطوير التعليم.
2 ـ تمويل التعليم.
3 ـ الجودة الشاملة في التعليم.
4 ـ المشاركة المجتمعية في التعليم. "
https://www.alyaum.com/articles/4/%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%A8%D8%AF%D9%87-%D8%A7%D8%B9%D8%AA%D8%B1%D9%81-%D9%84%D9%83-%D9%85%D9%81%D8%A7%D8%AC%D8%A3%D8%A9-%D8%A7%D9%84%D8%AD%D9%81%D9%84," محمد عبده : "" اعترف لك "" مفاجأة الحفل ", 2002/07/03 ,"ذكر الفنان محمد عبده لـ "" نيازك الفن "" في حديث سريع انه سوف يقدم بعض الأغاني كمفاجأة في حفلة الغد الخميس .
وعند إلحاحنا على معرفة الأغنية التي سوف تكون مفاجأة هذه الحفل قال إنها أغنية "" اعترف لك"" التي كتبها الأمير فيصل بن تركي بن عبدالله ومن الحان ناصر الصالح . أيضا ذكر انه سوف يقدم بعض الأغاني القديمة وفيها "" دستور "" وعن ألبومه القادم قال انه اجل التحضيرات حتى الانتهاء من حفلات الصيف . وسوف تقام أولى حفلات جدة غداً الخميس والتي ستكون افتتاحاً لمهرجان جدة الغنائي والتي تقرر أن تقام في قاعة مركز جدة الدولي للمؤتمرات والمعارض والذي يسع لأربعة آلاف شخص . تلفزيون الـ mbc وART سيقومان بتصوير الحفل لعرضه في وقت لاحق . وقد بيعت معظم تذاكر الحفل التي كانت ما بين (200) إلى (400) ريال وهي تعتبر معقولة . محمد عبده أجرى بروفاته يوم الاثنين والثلاثاء وستكون آخر بروفاته اليوم الأربعاء وذلك مع الموسيقار عماد عاشور .
محمد عبده خص نيازك الفن بجدول حفلاته لهذا الصيف والذي جاء كتالي :
التاريخ ... ... ... المكان
4/ 7/ 2002 ... ... ... جدة
23/7/2002 ... ... ... القاهرة ـ فندق سمير اميس
27/7/2002 ... ... ... تونس ـ قرطاج
5/8/2002 ... ... ... بيروت
11/8/2002 ... ... ... القاهرة ـ فندق سمير اميس
15/8/2002 ... ... ... أبها
21/8/2002 ... ... ... لندن
26/8/2002 ... ... ... بيروت
5/9/2002 ... ... ... باريس "
https://www.alyaum.com/articles/2/-(%D8%A7%D8%AC%D9%81%D9%86%D8%AF-)-%D8%AA%D8%B9%D8%B2%D8%B2-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%AA%D8%B7%D9%88%D8%B9%D9%8A-%D9%88-%D8%A7%D9%84%D8%AC%D9%85%D8%B9%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86, (اجفند ) تعزز العمل التطوعي و الجمعيات الاهلية في لبنان , 2002/07/03 ,"اقر برنامج الخليج العربى لدعم منظمات الامم المتحدة الانمائية (اجفند) المساهمة فى تمويل مشروع لتعزيز العمل التطوعى ودعم قدرات الجمعيات الاهلية فى لبنان من خلال اعداد كوادر تقنية لادارتها.
ويهدف المشروع الى نشر المفاهيم الصحيحة فى قطاع منظمات المجتمع المدنى ورفع كفاءة استخدام الامكانيات البشرية والمالية للقطاع التطوعى من خلال التدريب وتحسين نوعية العمل فى المجالين الادارى والمالى فى منظمات المجتمع المدنى وتوفير التقنيات الحديثة وانشاء بنك معلومات وطنى للتطوع يقوم بتوفير المعلومات الضرورية والمتكاملة للعمل التطوعى كما يهدف المشروع الى تصميم موقع اليكترونى على شبكة المعلومات الدولية (الانترنت) للنشر المعلومات المتعلقة بالتطوع.
وتضطلع الهيئات الاهلية للعمل المدنى بتنفيذ المشروع وستوجه مساهمة (اجفند) لتغطية تكاليف التدريب وانشاء الموقع الالكترونى لبنك معلومات التطوع. يذكر ان دعم الجمعيات الاهلية وتشجيع العمل التطوعى فى المجتمعات النامية محور اساسى فى استراتيجية برنامج الخليج العربى لدعم منظمات الامم المتحدة الانمائية (أجفند) وفى اطار هذه الاستراتيجية خصص (اجفند) الفرع الثالث من جائزته جائزة برنامج الخليج العربى العالمية للمشروعات التنموية الرائدة عام 2001م للمشروعات التى تعزز العمل التطوعى وتشجيع منظمات المجتمع المدنى للمشاركة فى تنمية المجتمع وتخفيف العبء عن الحكومات.
وقد قام (اجفند) منذ انشائه فى عام 1980م برئاسة صاحب السمو الملكي الامير طلال بن عبدالعزيز بالمساهمة فى دعم وتمويل 93 مشروعا فى لبنان وقد غطت تلك المشروعات مجالات التعليم والتدريب والصحة والبناء المؤسس والتنمية الخاصة. "
url,title,date,body
https://www.alyaum.com/articles/1/%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82-%D9%81%D8%B9%D8%A7%D9%84%D9%8A%D8%A7%D8%AA-%D9%85%D9%87%D8%B1%D8%AC%D8%A7%D9%86-%D8%A7%D9%84%D8%B7%D9%81%D9%84-%D9%88%D8%A7%D9%84%D8%A3%D8%B3%D8%B1%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9, انطلاق فعاليات مهرجان الطفل والأســــــــرة بالمـــدينــــة المــنــــورة , 2002/07/03 ,"تنطلق اليوم الاربعاء فعاليات ""مهرجان الطفل والأسرة"" الذي ينظمه مركز الاطفال المعوقين بالمدينة المنورة بالتعاون مع الامانة العامة لمهرجان المدينة المنورة الخامس.
ويستمر المهرجان لمدة ثلاثة ايام بمقر مركز الاطفال المعوقين بحي الملك فهد، حيث يتضمن العديد من الانشطة والفعاليات التي تخص الاسرة والطفل ومن بينها ندوات تثقيفية حول اسباب الاعاقة وطرق تلافيها وكيفية التعامل مع المعوقين. ودور الام والاسرة في تفادي الكثير من حالات الإعاقة.
كما يتضمن المهرجان مسابقات ترفيهية للاطفال وشخصيات كرتونية وركنا للالعاب الالكترونية ومسرحا للاطفال وأركانا للتصوير والرسم والفنون، وسيخصص يوما الاربعاء والخميس من المهرجان للنساء والاطفال وذلك خلال الفترة من الساعة الخامسة عصرا حتى الحادية عشرة مساء، فيما سيفتح المهرجان ابوابه للعائلات يوم الجمعة، حيث سيشارك الفنان يوسف الجراح في تقديم فقرات المهرجان الذي يقام برعاية شركة كوكا كولا السعودية. "
https://www.alyaum.com/articles/4/%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%A8%D8%AF%D9%87-%D8%A7%D8%B9%D8%AA%D8%B1%D9%81-%D9%84%D9%83-%D9%85%D9%81%D8%A7%D8%AC%D8%A3%D8%A9-%D8%A7%D9%84%D8%AD%D9%81%D9%84," محمد عبده : "" اعترف لك "" مفاجأة الحفل ", 2002/07/03 ,"ذكر الفنان محمد عبده لـ "" نيازك الفن "" في حديث سريع انه سوف يقدم بعض الأغاني كمفاجأة في حفلة الغد الخميس .
وعند إلحاحنا على معرفة الأغنية التي سوف تكون مفاجأة هذه الحفل قال إنها أغنية "" اعترف لك"" التي كتبها الأمير فيصل بن تركي بن عبدالله ومن الحان ناصر الصالح . أيضا ذكر انه سوف يقدم بعض الأغاني القديمة وفيها "" دستور "" وعن ألبومه القادم قال انه اجل التحضيرات حتى الانتهاء من حفلات الصيف . وسوف تقام أولى حفلات جدة غداً الخميس والتي ستكون افتتاحاً لمهرجان جدة الغنائي والتي تقرر أن تقام في قاعة مركز جدة الدولي للمؤتمرات والمعارض والذي يسع لأربعة آلاف شخص . تلفزيون الـ mbc وART سيقومان بتصوير الحفل لعرضه في وقت لاحق . وقد بيعت معظم تذاكر الحفل التي كانت ما بين (200) إلى (400) ريال وهي تعتبر معقولة . محمد عبده أجرى بروفاته يوم الاثنين والثلاثاء وستكون آخر بروفاته اليوم الأربعاء وذلك مع الموسيقار عماد عاشور .
محمد عبده خص نيازك الفن بجدول حفلاته لهذا الصيف والذي جاء كتالي :
التاريخ ... ... ... المكان
4/ 7/ 2002 ... ... ... جدة
23/7/2002 ... ... ... القاهرة ـ فندق سمير اميس
27/7/2002 ... ... ... تونس ـ قرطاج
5/8/2002 ... ... ... بيروت
11/8/2002 ... ... ... القاهرة ـ فندق سمير اميس
15/8/2002 ... ... ... أبها
21/8/2002 ... ... ... لندن
26/8/2002 ... ... ... بيروت
5/9/2002 ... ... ... باريس "
https://www.alyaum.com/articles/2/-(%D8%A7%D8%AC%D9%81%D9%86%D8%AF-)-%D8%AA%D8%B9%D8%B2%D8%B2-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A7%D9%84%D8%AA%D8%B7%D9%88%D8%B9%D9%8A-%D9%88-%D8%A7%D9%84%D8%AC%D9%85%D8%B9%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%87%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86, (اجفند ) تعزز العمل التطوعي و الجمعيات الاهلية في لبنان , 2002/07/03 ,"اقر برنامج الخليج العربى لدعم منظمات الامم المتحدة الانمائية (اجفند) المساهمة فى تمويل مشروع لتعزيز العمل التطوعى ودعم قدرات الجمعيات الاهلية فى لبنان من خلال اعداد كوادر تقنية لادارتها.
ويهدف المشروع الى نشر المفاهيم الصحيحة فى قطاع منظمات المجتمع المدنى ورفع كفاءة استخدام الامكانيات البشرية والمالية للقطاع التطوعى من خلال التدريب وتحسين نوعية العمل فى المجالين الادارى والمالى فى منظمات المجتمع المدنى وتوفير التقنيات الحديثة وانشاء بنك معلومات وطنى للتطوع يقوم بتوفير المعلومات الضرورية والمتكاملة للعمل التطوعى كما يهدف المشروع الى تصميم موقع اليكترونى على شبكة المعلومات الدولية (الانترنت) للنشر المعلومات المتعلقة بالتطوع.
وتضطلع الهيئات الاهلية للعمل المدنى بتنفيذ المشروع وستوجه مساهمة (اجفند) لتغطية تكاليف التدريب وانشاء الموقع الالكترونى لبنك معلومات التطوع. يذكر ان دعم الجمعيات الاهلية وتشجيع العمل التطوعى فى المجتمعات النامية محور اساسى فى استراتيجية برنامج الخليج العربى لدعم منظمات الامم المتحدة الانمائية (أجفند) وفى اطار هذه الاستراتيجية خصص (اجفند) الفرع الثالث من جائزته جائزة برنامج الخليج العربى العالمية للمشروعات التنموية الرائدة عام 2001م للمشروعات التى تعزز العمل التطوعى وتشجيع منظمات المجتمع المدنى للمشاركة فى تنمية المجتمع وتخفيف العبء عن الحكومات.
وقد قام (اجفند) منذ انشائه فى عام 1980م برئاسة صاحب السمو الملكي الامير طلال بن عبدالعزيز بالمساهمة فى دعم وتمويل 93 مشروعا فى لبنان وقد غطت تلك المشروعات مجالات التعليم والتدريب والصحة والبناء المؤسس والتنمية الخاصة. "
